Date,^GSPC,MMM,ADBE,AMZN,ADSK,SAM,KMX,CMG,CB,CTSH,CL,COST,DIS,FDX,JWN,QCOM,SLB,LUV,SBUX,TROW,UPS
1999-01-04,1228.0999755859375,37.3125,6.2421875,59.15625,11.1875,8.5,2.75,,33.625,0.625,22.5,35.75,29.163406372070312,43.3125,17.25,3.46484375,23.90625,10.19444465637207,3.3671875,17.6875,
1999-01-05,1244.780029296875,37.53125,6.109375,62.25,11.171875,8.4375,2.78125,,32.8125,0.640625,22.75,36.4375,30.149906158447266,42.78125,18.03125,3.5703125,23.875,10.833333015441895,3.25,19.3125,
1999-01-06,1272.3399658203125,39.28125,5.890625,69.0,11.390625,8.375,2.75,,33.25,0.6484375,22.625,37.8125,30.51984405517578,44.4375,18.75,3.71484375,25.65625,10.972222328186035,3.22265625,18.71875,
1999-01-07,1269.72998046875,38.375,6.015625,79.4375,11.375,8.25,2.65625,,32.25,0.6354166865348816,22.25,37.5625,31.321374893188477,43.65625,18.25,3.74609375,26.6875,11.333333015441895,3.234375,18.6875,
1999-01-08,1275.0899658203125,38.5625,6.1015625,80.125,11.375,8.0625,2.625,,33.1875,0.6536458134651184,21.421875,36.84375,32.12290573120117,43.96875,18.0625,3.765625,26.03125,12.69444465637207,3.3046875,18.21875,
1999-01-11,1263.8800048828125,39.28125,6.125,92.3125,11.046875,7.6875,2.53125,,32.9375,0.6901041865348816,21.15625,36.25,34.77412414550781,43.5625,18.6875,3.875,26.4375,12.0,3.3125,17.96875,
1999-01-12,1239.510009765625,38.875,6.0859375,81.6875,10.71875,7.875,2.4375,,33.125,0.6302083134651184,21.125,36.15625,37.48699951171875,42.65625,17.75,3.8046875,25.5,11.583333015441895,3.32421875,18.09375,
1999-01-13,1234.4000244140625,37.625,6.1328125,74.0,10.4375,9.0,2.40625,,32.125,0.6276041865348816,19.59375,36.5,35.63731384277344,41.78125,17.1875,3.6796875,24.5,11.722222328186035,3.294921875,17.5,
1999-01-14,1212.18994140625,36.0625,5.9609375,69.0,10.71875,9.875,2.40625,,32.25,0.6458333134651184,18.984375,36.21875,35.57565689086914,39.15625,17.34375,3.78515625,24.0625,11.666666984558105,3.296875,16.6875,
1999-01-15,1243.260009765625,37.28125,6.1171875,70.1875,11.265625,10.0,2.46875,,32.0,0.6770833134651184,19.0,37.15625,35.513999938964844,39.53125,18.0,3.9921875,24.6875,11.722222328186035,3.28125,17.1875,
1999-01-19,1252.0,36.375,6.296875,69.90625,12.125,9.4375,2.53125,,30.9375,0.7083333134651184,19.328125,37.4375,36.00725173950195,39.90625,18.25,4.15625,24.875,12.44444465637207,3.375,16.953125,
1999-01-20,1256.6199951171875,34.9375,6.140625,56.5,11.984375,9.25,2.4375,,30.25,0.7317708134651184,19.65625,37.125,35.513999938964844,38.84375,18.3125,3.875,24.125,11.833333015441895,3.41796875,16.9375,
1999-01-21,1235.1600341796875,36.2890625,6.046875,53.0,11.328125,10.5,2.40625,,29.625,0.7486979365348816,19.34375,36.0625,34.09590530395508,38.71875,17.09375,3.71875,24.9375,11.916666984558105,3.296875,16.28125,
1999-01-22,1225.18994140625,35.65625,6.0625,61.5,10.96875,10.625,2.4375,,29.0,0.7682291865348816,18.8125,35.8125,33.66431427001953,38.125,18.46875,3.6875,25.75,11.86111068725586,3.12890625,16.0,
1999-01-25,1233.97998046875,37.5625,6.25,56.1875,11.078125,10.375,2.375,,29.0,0.828125,18.765625,35.625,34.465843200683594,39.90625,18.8125,3.6328125,25.0,11.80555534362793,3.12890625,16.0,
1999-01-26,1252.31005859375,37.9375,6.109375,57.546875,10.953125,10.0,2.40625,,28.375,0.8125,18.78125,36.84375,34.09590530395508,41.5,19.265625,3.75,24.0,11.88888931274414,3.1796875,17.125,
