Date,^GSPC,ABT,CC,FNMA,PG,KMB,KR,NUE,PM,PBI,WBA,WFC
1999-01-04,1228.0999755859375,21.88391876220703,,72.125,45.0,50.994728088378906,14.5,11.046875,,63.6875,28.4375,19.9375
1999-01-05,1244.780029296875,21.91197395324707,,72.5,45.78125,50.69511032104492,14.40625,11.203125,,65.25,28.0,20.09375
1999-01-06,1272.3399658203125,21.743637084960938,,75.0,46.3125,50.81495666503906,14.421875,11.5,,66.8125,28.21875,19.90625
1999-01-07,1269.72998046875,21.46307373046875,,74.8125,45.4375,50.755035400390625,14.28125,11.65625,,65.125,27.3125,19.96875
1999-01-08,1275.0899658203125,21.378904342651367,,72.3125,44.59375,51.77373123168945,14.296875,12.453125,,64.4375,27.0,19.90625
1999-01-11,1263.8800048828125,21.09834098815918,,68.6875,43.625,50.45541763305664,14.296875,12.390625,,65.25,26.3125,19.15625
1999-01-12,1239.510009765625,20.901947021484375,,69.375,44.21875,49.43672180175781,14.3125,12.0,,64.0,27.25,18.59375
1999-01-13,1234.4000244140625,21.575298309326172,,70.5,44.0,49.49664306640625,14.3125,11.640625,,63.8125,28.84375,18.3125
1999-01-14,1212.18994140625,21.294734954833984,,68.625,42.59375,49.73633575439453,14.0625,11.484375,,63.4375,27.84375,17.875
1999-01-15,1243.260009765625,21.378904342651367,,71.125,43.3125,50.57526397705078,14.609375,11.75,,64.5,28.5,18.75
1999-01-19,1252.0,20.817777633666992,,70.9375,43.21875,49.01725769042969,14.453125,11.625,,64.1875,28.28125,18.40625
1999-01-20,1256.6199951171875,21.04222869873047,,71.25,42.375,48.95733642578125,14.265625,11.34375,,65.625,28.96875,18.6875
1999-01-21,1235.1600341796875,20.20054054260254,,69.25,43.25,48.23825454711914,14.296875,11.90625,,64.4375,28.8125,18.5625
1999-01-22,1225.18994140625,19.863862991333008,,70.5,42.65625,46.26078796386719,14.15625,11.328125,,62.6875,29.21875,18.375
