date,SPX,MMM,ACN,AFL,ALL,APTV,AGR,AVT,BBY,BMO,AVGO,CAJ,CBRE,CL,CMI,DELL,EMN,ECL,EW,LLY,FITB,FLR,AJG,G,GVA,HAS,HCA,HSIC,HPE,HLT,INGR,INTC,IBM,IP,JLL,JCI,K,KMB,KSS,LDOS,LECO,MAN,MA,MSFT,NEE,NOK,ONB,ON,OSK,OC,PAYX,PEP,PINC,PFG,PRU,RLGY,RSG,ROK,RCL,CRM,SCHN,SNE,TMUS,TEL,TDC,TXN,AES,HIG,TKR,USB,VFC,V,VOYA,WDC,WY,WIT,WH
1999-10-08,,95.25,,45.188,23.563,,,39.625,67.25,36.0,,29.875,,26.656,52.063,,41.125,35.688,,73.438,66.0,,51.875,,24.313,20.188,,15.0,,,29.375,37.844,113.5,47.563,15.188,106.5,38.375,54.938,73.938,,20.75,30.563,,94.938,50.313,99.5,29.0,,26.5,,36.906,34.375,,,,,9.875,54.063,46.375,,17.75,156.625,,,,43.0,56.25,41.125,18.0,26.688,30.375,,,3.625,59.875,,
1999-10-15,,89.375,,43.0,23.563,,,39.0,61.75,33.875,,27.0,,25.094,50.5,,38.125,34.0,,66.375,60.375,,50.875,,23.0,18.563,,14.0,,,30.125,35.438,107.875,47.375,15.0,88.25,38.5,51.563,67.0,,20.688,28.875,,88.063,49.188,92.875,28.938,,27.625,,35.0,32.188,,,,,9.813,51.0,45.25,,15.875,151.438,,,,41.25,51.25,37.625,17.563,23.375,28.25,,,3.5,58.938,,
1999-10-22,,92.563,,45.563,25.0,,,44.563,59.313,36.0,,26.5,,28.5,50.313,,37.375,34.0,,68.563,65.125,,51.5,,22.5,18.5,,10.875,,,32.938,36.719,93.938,48.75,14.063,46.0,39.438,58.125,70.063,,21.375,29.188,,92.688,48.0,105.125,29.063,,30.625,,38.063,34.125,,,,,10.0,50.0,49.063,,16.938,148.688,,,,39.063,55.375,43.875,17.688,26.625,29.688,,,3.438,55.875,,
1999-10-29,,95.063,,51.125,29.0,,,54.563,55.75,38.063,,28.438,,30.25,50.688,,38.563,33.813,,68.875,73.813,,51.75,,20.688,20.625,,13.0,,,32.563,38.719,98.25,52.625,12.438,40.125,39.813,63.0,74.875,,22.375,35.125,,92.563,50.313,115.563,30.063,,30.063,,39.375,34.688,,,,,12.25,48.438,53.063,,16.125,159.75,,,,44.875,56.438,51.813,17.938,29.375,30.063,,,3.25,59.688,,
1999-11-05,,95.688,,52.313,29.438,,,53.375,50.625,35.188,,29.125,,28.813,44.0,,37.938,33.938,,77.0,72.188,,55.5,,19.0,23.063,,14.0,,,33.75,41.188,90.25,54.625,12.938,39.188,35.375,65.5,72.5,,21.5,34.5,,91.563,49.0,115.875,32.125,,28.5,,41.188,33.813,,,,,12.0,46.125,49.563,,15.875,164.688,,,,46.719,56.938,53.438,18.5,28.25,30.75,,,2.813,64.25,,
1999-11-12,,95.688,,51.625,28.813,,,56.313,52.75,38.438,,28.75,,28.969,41.938,,38.313,34.875,,77.375,71.938,,55.188,,20.375,22.0,,12.859,,,32.188,38.094,95.875,54.063,12.625,43.0,35.125,65.5,70.188,,21.875,34.875,,89.188,46.75,122.25,32.5,,28.5,,42.313,33.125,,,,,11.813,46.0,51.688,,15.875,176.5,,,,50.375,58.438,49.75,18.188,28.625,30.0,,,3.75,61.063,,
1999-11-19,,102.313,,51.938,28.063,,,55.688,50.25,37.313,,30.813,,28.438,42.75,,39.25,36.5,,72.875,73.313,,53.875,,19.0,22.938,,14.063,,,32.563,39.938,103.938,52.625,12.813,43.813,34.375,66.0,70.75,,21.75,36.125,,86.0,45.375,133.5,32.75,,28.375,,41.0,34.5,,,,,12.188,50.0,54.25,,17.625,176.625,,,,49.094,60.938,48.813,18.25,26.25,29.625,,,3.875,61.375,,
1999-11-26,,95.5,,48.938,27.438,,,56.625,57.875,36.563,,32.25,,27.438,42.125,,39.063,34.75,,72.438,69.188,,53.625,,18.5,22.938,,13.563,,,31.625,40.125,105.0,51.063,12.125,42.719,34.0,66.188,69.5,,20.875,35.25,,91.125,43.5,146.75,32.563,,27.188,,40.25,34.875,,,,,12.0,50.125,50.938,,17.75,185.938,,,,51.531,56.938,45.938,17.625,26.125,30.0,,,3.688,59.438,,
1999-12-03,,99.313,,50.063,27.25,,,57.813,57.25,35.313,,32.5,,29.031,39.063,,42.125,35.25,,71.875,71.75,,55.438,,18.0,20.813,,12.688,,,32.563,39.344,111.875,53.094,11.188,37.438,33.563,67.125,72.438,,20.375,37.75,,96.125,44.438,162.0,32.875,,28.5,,43.313,37.125,,,,,12.75,51.375,52.5,,19.25,183.125,,,,50.688,59.313,46.0,18.5,25.5,30.438,,,3.75,65.188,,
1999-12-10,,93.938,,46.938,27.0,,,56.063,48.125,35.0,,35.938,,30.125,41.125,,45.0,33.688,,65.875,64.625,,54.375,,17.375,21.0,,11.875,,,33.188,36.125,109.0,54.5,10.063,30.438,32.5,63.25,66.875,,20.625,37.0,,93.875,41.875,168.0,33.188,,34.25,,40.75,36.938,,,,,12.5,47.125,49.75,,19.125,187.313,,,,53.438,61.813,45.563,18.5,21.938,30.0,,,3.625,65.813,,
1999-12-17,,95.125,,45.5,24.438,,,59.0,47.25,33.625,,38.125,,30.375,42.0,,46.188,36.375,,67.063,65.938,,59.625,,17.25,18.625,,11.0,,,32.188,41.031,110.0,53.5,10.063,30.0,32.313,63.188,67.688,,20.625,37.125,,115.25,42.75,168.5,33.125,,30.5,,40.813,35.0,,,,,12.688,49.313,46.75,,18.75,202.125,,,,50.969,65.0,43.25,18.625,20.25,29.063,,,4.188,68.625,,
1999-12-23,,93.063,,45.125,24.563,,,57.063,45.0,33.5,,39.625,,31.313,47.0,,45.188,36.188,,68.25,72.563,,64.188,,18.688,18.125,,10.813,,,33.063,41.563,108.625,55.813,11.375,33.0,32.438,64.5,69.063,,20.5,35.813,,117.438,42.875,174.0,31.188,,30.375,,41.563,35.438,,,,,12.5,48.625,47.5,,19.125,236.5,,,,53.75,67.938,45.938,18.625,20.875,29.5,,,3.75,70.0,,
1999-12-31,,97.875,,47.188,24.063,,,60.5,50.25,34.125,,40.563,,32.5,48.313,,47.688,39.125,,66.5,73.375,,64.75,,18.438,18.938,,13.313,,,32.75,41.156,107.875,56.438,11.875,39.0,30.813,65.438,72.188,,20.625,37.625,,116.75,42.813,191.063,32.438,,29.313,,40.0,35.25,,,,,14.25,47.875,49.313,,19.0,284.75,,,,48.313,74.75,47.375,20.438,21.125,30.0,,,4.188,71.813,,
2000-01-07,,102.75,,45.063,24.5,,,53.938,58.25,32.0,,36.813,,30.969,48.938,,50.438,39.813,,71.063,67.813,,63.25,,20.688,16.563,,13.125,,,31.188,41.0,113.5,58.625,11.938,35.625,29.25,65.875,75.563,,18.625,35.625,,111.438,44.625,171.0,29.563,,30.375,,41.438,37.625,,,,,13.625,48.313,49.25,,19.0,234.375,,,,47.0,72.313,44.813,20.25,21.688,29.188,,,5.625,71.688,,
2000-01-14,1465.15,99.313,,42.938,24.188,,,58.563,54.813,32.0,,39.188,,31.656,46.688,,48.5,39.438,,68.313,66.375,,59.625,,21.375,16.5,,15.375,,,30.375,51.531,119.625,55.875,10.75,34.875,26.563,65.438,77.0,,19.313,35.0,,112.25,43.438,184.0,30.0,,32.0,,45.375,36.188,,,,,13.438,48.188,55.688,,17.375,227.0,,,,53.938,83.25,43.688,20.0,23.25,28.875,,,4.5,69.25,,
2000-01-21,1441.36,94.938,,38.75,23.5,,,58.063,54.047,30.125,,35.375,,30.656,43.0,,43.688,37.063,,64.75,60.125,,57.125,,20.938,15.5,,14.563,,,24.0,48.969,121.5,50.125,15.0,39.0,25.0,64.688,76.313,,19.813,36.25,,103.75,44.0,185.0,29.0,,31.875,,45.813,36.125,,,,,13.0,49.625,53.75,,18.281,235.0,,,,55.398,80.0,37.938,18.125,21.688,29.438,,,5.125,63.875,,
2000-01-28,1360.16,92.25,,42.0,22.813,,,53.5,50.0,33.313,,41.625,,29.75,38.625,,39.938,34.5,,65.313,62.938,,54.063,,19.938,15.5,,13.125,,,23.0,47.0,111.563,47.875,13.75,42.0,23.938,63.125,68.813,,19.813,35.313,,98.25,41.313,180.125,29.0,,30.5,,42.0,33.25,,,,,11.75,48.5,51.375,,6.125,243.063,,,,53.563,76.375,37.313,15.563,22.25,26.688,,,5.0,59.063,,
2000-02-04,1424.37,89.063,,43.938,23.25,,,53.875,56.875,31.813,,46.125,,28.125,37.563,,40.063,35.125,,64.875,62.25,,58.688,,21.625,15.875,,13.313,,,23.313,52.375,115.625,45.625,12.688,40.0,23.375,61.563,80.125,,19.813,35.563,,106.563,41.625,192.0,28.188,,32.594,,42.5,32.75,,,,,11.5,47.688,47.688,,18.75,269.313,,,,66.0,75.25,41.875,15.313,22.313,25.938,,,5.063,55.0,,
2000-02-11,1387.12,82.938,,39.875,21.688,,,50.063,53.688,30.75,,42.25,,27.938,35.063,,38.563,32.5,,61.625,60.031,,54.25,,22.0,15.063,,12.5,,,23.375,52.938,115.375,42.688,11.938,39.625,21.063,57.938,79.5,,19.875,33.688,,99.938,40.875,197.0,26.25,,32.0,,42.625,34.375,,,,,10.063,44.375,41.75,,17.813,261.125,,,,68.813,82.0,34.625,14.5,22.188,25.0,,,4.938,51.313,,
2000-02-18,1346.09,87.563,,37.688,21.0,,,51.438,56.125,31.188,,40.188,,26.531,40.75,,37.313,31.063,,58.5,55.438,,49.688,,25.0,15.375,,13.0,,,23.0,52.688,112.5,40.563,11.188,37.625,22.188,52.875,71.125,,19.188,32.625,,95.063,40.313,189.938,25.563,,31.625,,45.625,34.25,,,,,10.875,48.563,36.5,,16.125,267.375,,,,67.0,88.0,33.063,14.0,19.188,25.125,,,4.313,48.75,,
2000-02-25,1333.36,85.75,,35.063,20.375,,,67.0,48.0,30.375,,41.25,,24.125,34.625,,35.813,29.125,,56.688,50.125,,48.813,,24.188,16.0,,14.938,,,23.875,56.625,108.0,36.0,12.0,39.0,21.0,51.438,69.563,,19.328,30.125,,91.313,36.813,204.875,25.25,,29.188,,47.563,32.75,,,,,11.313,46.375,33.938,,14.625,275.875,,,,76.625,84.5,31.0,13.5,18.0,22.938,,,3.938,49.313,,
2000-03-03,1409.17,89.5,,36.625,19.375,,,65.0,60.5,30.75,,39.375,,27.438,34.625,,36.75,30.688,,58.0,49.188,,50.0,,25.625,15.625,,15.5,,,23.5,59.625,108.0,36.313,12.5,40.25,23.813,51.813,76.0,,19.375,30.938,,96.125,39.0,221.0,24.188,,28.375,,48.938,31.625,,,,,10.75,46.813,29.0,,16.5,299.438,,,,93.813,86.938,31.0,14.75,18.813,24.5,,,4.5,53.438,,
2000-03-10,1395.0699,81.5,,35.125,17.938,,,63.438,62.375,30.25,,40.75,,21.375,32.0,,36.125,30.375,,61.188,45.875,,47.688,,25.625,14.375,,16.25,,,23.375,60.094,105.25,36.125,12.625,48.5,22.938,47.5,83.125,,18.5,27.75,,101.0,43.75,215.0,24.25,,24.125,,50.875,30.75,,,,,10.938,39.25,26.875,,15.5,243.75,,,,90.375,73.0,30.375,15.0,17.563,23.063,,,5.188,54.438,,
2000-03-17,1464.47,85.875,,41.813,20.875,,,61.688,74.5,32.375,,40.375,,24.969,35.563,,39.813,34.438,,61.375,60.25,,30.5,,26.5,15.688,,16.125,,,25.063,64.938,110.0,38.063,14.0,47.25,25.563,54.0,89.813,,18.75,29.938,,99.375,43.875,199.875,28.25,,25.844,,50.688,33.0,,,,,10.438,40.563,28.688,,15.875,248.063,,,,84.938,77.875,35.813,16.375,22.438,25.5,,,7.5,55.875,,
2000-03-24,1527.46,90.875,,45.938,23.0,,,61.938,77.938,35.063,,38.125,,27.188,38.125,,42.875,34.563,,62.125,63.438,,30.5,,26.813,16.563,,17.125,,,23.875,69.531,120.625,39.438,14.0,52.0,24.5,53.125,96.563,,18.938,30.563,,111.688,43.313,223.5,30.063,,27.313,,51.5,32.938,,,,,10.313,41.438,30.75,,16.75,241.813,,,,88.281,75.75,43.188,16.125,23.688,25.0,,,8.625,55.125,,
2000-03-31,1498.58,88.563,,45.563,23.813,,,63.0,86.0,35.125,,43.125,,28.188,37.563,,45.5,36.688,,62.625,63.0,,32.5,,27.0,16.688,,16.188,,,24.063,65.969,118.375,42.75,15.5,50.125,25.75,56.063,102.5,,24.188,35.5,,106.25,46.063,222.0,33.063,,31.063,,52.375,34.875,,,,,10.938,41.813,28.0,,18.063,280.125,,,,80.0,78.75,52.75,16.25,22.938,24.063,,,7.438,57.0,,
2000-04-07,1516.35,91.625,,45.5,22.625,,,69.313,81.75,35.188,,39.938,,29.656,36.438,,46.063,37.438,14.438,64.313,62.063,,32.938,,26.5,16.938,,16.125,,,23.188,68.406,123.125,39.625,14.75,49.875,25.0,56.25,106.188,,20.25,32.375,,89.063,46.563,225.125,32.313,,32.25,,51.375,36.0,,,,,12.938,43.75,26.063,,18.875,272.0,,,,83.25,77.0,46.563,16.188,23.438,24.125,,,7.563,58.313,,
2000-04-14,1356.5601,90.813,,46.063,20.875,,,62.625,70.125,35.563,,38.0,,27.875,36.625,,45.938,36.625,14.438,67.438,59.063,,32.25,,24.063,15.5,,14.875,,,22.813,55.25,105.0,40.125,15.063,43.5,26.875,56.0,91.625,,19.438,30.625,,74.125,44.938,45.5,32.438,,33.125,,47.813,36.438,,,,,12.188,41.063,23.0,,17.25,233.5,,,,69.5,73.875,44.25,15.938,24.0,26.25,,,6.0,55.313,,
